RegionID,SizeRank,RegionName,RegionType,StateName,2024-10-05,City
394710,272,"Jackson, MI",msa,MI,36.0,JACKSON
395079,274,"Sebastian, FL",msa,FL,85.0,SEBASTIAN
394523,276,"Decatur, AL",msa,AL,47.0,DECATUR
394453,277,"Chambersburg, PA",msa,PA,30.0,CHAMBERSBURG
394703,279,"Idaho Falls, ID",msa,ID,52.0,IDAHO FALLS
394639,280,"Grand Junction, CO",msa,CO,46.0,GRAND JUNCTION
394917,282,"Niles, MI",msa,MI,39.0,NILES
394873,283,"Monroe, MI",msa,MI,39.0,MONROE
395066,284,"Santa Fe, NM",msa,NM,64.0,SANTA FE
394493,285,"Concord, NH",msa,NH,23.0,CONCORD
395163,287,"Traverse City, MI",msa,MI,46.0,TRAVERSE CITY
394359,288,"Bangor, ME",msa,ME,41.0,BANGOR
394685,289,"Homosassa Springs, FL",msa,FL,79.0,HOMOSASSA SPRINGS
394723,291,"Jefferson City, MO",msa,MO,25.0,JEFFERSON CITY
394598,292,"Florence, AL",msa,AL,50.0,FLORENCE
394537,293,"Dothan, AL",msa,AL,47.0,DOTHAN
394306,295,"Albany, GA",msa,GA,65.0,ALBANY
845167,296,"Ottawa, IL",msa,IL,44.0,OTTAWA
395102,297,"Sioux City, IA",msa,IA,37.0,SIOUX CITY
395223,298,"Wichita Falls, TX",msa,TX,70.0,WICHITA FALLS
394800,301,"Logan, UT",msa,UT,59.0,LOGAN
394595,302,"Flagstaff, AZ",msa,AZ,54.0,FLAGSTAFF
395036,303,"Rocky Mount, NC",msa,NC,40.0,ROCKY MOUNT
395000,304,"Pottsville, PA",msa,PA,32.0,POTTSVILLE
394783,306,"Lebanon, PA",msa,PA,17.0,LEBANON
395232,308,"Winchester, VA",msa,VA,36.0,WINCHESTER
395221,309,"Wheeling, WV",msa,OH,47.0,"WHEELING, WV"
394756,311,"La Crosse, WI",msa,WI,23.0,LA CROSSE
395013,313,"Rapid City, SD",msa,SD,45.0,RAPID CITY
395117,316,"Springfield, OH",msa,OH,24.0,SPRINGFIELD
394368,318,"Battle Creek, MI",msa,MI,29.0,BATTLE CREEK
395094,319,"Sherman, TX",msa,TX,69.0,SHERMAN
394821,320,"Manhattan, KS",msa,KS,46.0,MANHATTAN
394442,321,"Carbondale, IL",msa,IL,42.0,CARBONDALE
394727,322,"Johnstown, PA",msa,PA,43.0,JOHNSTOWN
394390,324,"Bismarck, ND",msa,ND,44.0,BISMARCK
394983,326,"Pittsfield, MA",msa,MA,51.0,PITTSFIELD
394890,327,"Mount Vernon, WA",msa,WA,44.0,MOUNT VERNON
394719,328,"Jamestown, NY",msa,NY,38.0,JAMESTOWN
395153,329,"The Villages, FL",msa,FL,78.0,THE VILLAGES
394307,330,"Albany, OR",msa,OR,39.0,ALBANY
394633,331,"Glens Falls, NY",msa,NY,33.0,GLENS FALLS
394780,332,"Lawton, OK",msa,OK,34.0,LAWTON
394474,334,"Cleveland, TN",msa,TN,48.0,CLEVELAND
395098,335,"Sierra Vista, AZ",msa,AZ,72.0,SIERRA VISTA
394353,339,"Augusta, ME",msa,ME,36.0,AUGUSTA
394905,341,"New Bern, NC",msa,NC,34.0,NEW BERN
395120,343,"St. Joseph, MO",msa,MO,28.0,ST. JOSEPH
395054,344,"San Angelo, TX",msa,TX,78.0,SAN ANGELO
395218,345,"Wenatchee, WA",msa,WA,50.0,WENATCHEE
394778,349,"Lawrence, KS",msa,KS,36.0,LAWRENCE
395217,353,"Weirton, WV",msa,OH,36.0,"WEIRTON, WV"
394407,356,"Bozeman, MT",msa,MT,61.0,BOZEMAN
394423,360,"Brunswick, GA",msa,GA,72.0,BRUNSWICK
395173,361,"Twin Falls, ID",msa,ID,49.0,TWIN FALLS
753872,361,"California, MD",msa,MD,29.0,CALIFORNIA
394495,363,"Cookeville, TN",msa,TN,54.0,COOKEVILLE
394893,364,"Muncie, IN",msa,IN,25.0,MUNCIE
395039,366,"Roseburg, OR",msa,OR,45.0,ROSEBURG
394788,367,"Lewiston, ME",msa,ME,18.0,LEWISTON
394734,370,"Kankakee, IL",msa,IL,25.0,KANKAKEE
395168,374,"Tullahoma, TN",msa,TN,50.0,TULLAHOMA
394524,378,"Decatur, IL",msa,IL,30.0,DECATUR
394369,380,"Bay City, MI",msa,MI,29.0,BAY CITY
394620,383,"Gadsden, AL",msa,AL,57.0,GADSDEN
753915,388,"Salem, OH",msa,OH,54.0,SALEM
395166,389,"Truckee, CA",msa,CA,54.0,TRUCKEE
395080,390,"Sebring, FL",msa,FL,70.0,SEBRING
394462,391,"Cheyenne, WY",msa,WY,38.0,CHEYENNE
394542,396,"Dubuque, IA",msa,IA,29.0,DUBUQUE
753912,398,"Pinehurst, NC",msa,NC,47.0,PINEHURST
395086,402,"Sevierville, TN",msa,TN,80.0,SEVIERVILLE
394340,404,"Ashtabula, OH",msa,OH,37.0,ASHTABULA
394441,405,"Cape Girardeau, MO",msa,MO,50.0,CAPE GIRARDEAU
394580,407,"Fairbanks, AK",msa,AK,43.0,FAIRBANKS
394410,408,"Brainerd, MN",msa,MN,43.0,BRAINERD
394928,410,"Ocean City, NJ",msa,NJ,49.0,OCEAN CITY
394988,412,"Pocatello, ID",msa,ID,64.0,POCATELLO
394641,422,"Grants Pass, OR",msa,OR,95.0,GRANTS PASS
395248,426,"Zanesville, OH",msa,OH,34.0,ZANESVILLE
394907,427,"New Castle, PA",msa,PA,31.0,NEW CASTLE
394925,428,"Oak Harbor, WA",msa,WA,42.0,OAK HARBOR
394859,437,"Midland, MI",msa,MI,20.0,MIDLAND
394866,458,"Minot, ND",msa,ND,37.0,MINOT
394738,466,"Keene, NH",msa,NH,19.0,KEENE
394674,467,"Heber, UT",msa,UT,89.0,HEBER
394298,473,"Aberdeen, WA",msa,WA,51.0,ABERDEEN
395106,475,"Somerset, PA",msa,PA,38.0,SOMERSET
395088,482,"Shawnee, OK",msa,OK,57.0,SHAWNEE
394877,491,"Morehead City, NC",msa,NC,70.0,MOREHEAD CITY
394472,492,"Clearlake, CA",msa,CA,86.0,CLEARLAKE
394759,519,"Laconia, NH",msa,NH,39.0,LACONIA
845162,535,"Granbury, TX",msa,TX,72.0,GRANBURY
753905,604,"Newport, OR",msa,OR,99.0,NEWPORT
753871,811,"Breckenridge, CO",msa,CO,81.0,BRECKENRIDGE
