index,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,County
7177,74675,7355,38139,zip,TN,TN,GERMANTOWN,"Memphis, TN-MS-AR",Shelby County,SHELBY
7178,58613,7358,02090,zip,MA,MA,WESTWOOD,"Boston-Cambridge-Newton, MA-NH",Norfolk County,NORFOLK
7179,60371,7359,06519,zip,CT,CT,NEW HAVEN,"New Haven-Milford, CT",New Haven County,NEW HAVEN
7180,82766,7359,56304,zip,MN,MN,SAINT CLOUD,"Minneapolis-St. Paul-Bloomington, MN-WI",Sherburne County,SHERBURNE
7181,89247,7361,71909,zip,AR,AR,HOT SPRINGS VILLAGE,"Little Rock-North Little Rock-Conway, AR",Saline County,SALINE
7182,79972,7362,49829,zip,MI,MI,ESCANABA,"Escanaba, MI",Delta County,DELTA
7183,63842,7363,15025,zip,PA,PA,CLAIRTON,"Pittsburgh, PA",Allegheny County,ALLEGHENY
7184,86329,7364,64082,zip,MO,MO,LEES SUMMIT,"Kansas City, MO-KS",Jackson County,JACKSON
7185,76259,7365,42164,zip,KY,KY,SCOTTSVILLE,"Bowling Green, KY",Allen County,ALLEN
7186,85278,7365,62034,zip,IL,IL,GLEN CARBON,"St. Louis, MO-IL",Madison County,MADISON
7187,62686,7367,12589,zip,NY,NY,WALLKILL,"Kingston, NY",Ulster County,ULSTER
7188,98037,7368,95203,zip,CA,CA,STOCKTON,"Stockton, CA",San Joaquin County,SAN JOAQUIN
7189,97712,7369,94502,zip,CA,CA,ALAMEDA,"San Francisco-Oakland-Berkeley, CA",Alameda County,ALAMEDA
7190,91237,7370,76088,zip,TX,TX,WEATHERFORD,"Dallas-Fort Worth-Arlington, TX",Parker County,PARKER
7191,92837,7370,79108,zip,TX,TX,AMARILLO,"Amarillo, TX",Potter County,POTTER
7192,72395,7372,33066,zip,FL,FL,COCONUT CREEK,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,BROWARD
7193,79428,7373,48855,zip,MI,MI,HOWELL,"Detroit-Warren-Dearborn, MI",Livingston County,LIVINGSTON
7194,65082,7374,17517,zip,PA,PA,DENVER,"Lancaster, PA",Lancaster County,LANCASTER
7195,81429,7374,53714,zip,WI,WI,MADISON,"Madison, WI",Dane County,DANE
7196,100015,7376,98903,zip,WA,WA,YAKIMA,"Yakima, WA",Yakima County,YAKIMA
7197,96097,7377,90232,zip,CA,CA,CULVER CITY,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
7198,399662,7378,85658,zip,AZ,AZ,MARANA,"Tucson, AZ",Pima County,PIMA
7199,77944,7379,46064,zip,IN,IN,PENDLETON,"Indianapolis-Carmel-Anderson, IN",Madison County,MADISON
7200,73380,7380,35210,zip,AL,AL,IRONDALE,"Birmingham-Hoover, AL",Jefferson County,JEFFERSON
7201,74775,7380,38343,zip,TN,TN,HUMBOLDT,"Jackson, TN",Gibson County,GIBSON
7202,83448,7380,57783,zip,SD,SD,SPEARFISH,"Spearfish, SD",Lawrence County,LAWRENCE
7203,58755,7383,02420,zip,MA,MA,LEXINGTON,"Boston-Cambridge-Newton, MA-NH",Middlesex County,MIDDLESEX
7204,65731,7384,19054,zip,PA,PA,LEVITTOWN,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,BUCKS
7205,93218,7385,80030,zip,CO,CO,WESTMINSTER,"Denver-Aurora-Lakewood, CO",Adams County,ADAMS
7206,99646,7385,98233,zip,WA,WA,BURLINGTON,"Mount Vernon-Anacortes, WA",Skagit County,SKAGIT
7207,72801,7387,33760,zip,FL,FL,SOUTH HIGHPOINT,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,PINELLAS
7208,60546,7388,07031,zip,NJ,NJ,NORTH ARLINGTON,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,BERGEN
7209,69837,7389,28301,zip,NC,NC,FAYETTEVILLE,"Fayetteville, NC",Cumberland County,CUMBERLAND
7210,78956,7390,48082,zip,MI,MI,SAINT CLAIR SHORES,"Detroit-Warren-Dearborn, MI",Macomb County,MACOMB
7211,72457,7391,33154,zip,FL,FL,BAL HARBOUR,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,MIAMI-DADE
7212,61235,7393,08882,zip,NJ,NJ,SOUTH RIVER,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,MIDDLESEX
7213,70403,7393,29323,zip,SC,SC,CHESNEE,"Spartanburg, SC",Spartanburg County,SPARTANBURG
7214,100220,7395,99501,zip,AK,AK,ANCHORAGE,"Anchorage, AK",Anchorage Borough,ANCHORAGE BOROUGH
7215,78392,7396,46992,zip,IN,IN,WABASH,"Wabash, IN",Wabash County,WABASH
7216,93254,7396,80125,zip,CO,CO,LITTLETON,"Denver-Aurora-Lakewood, CO",Douglas County,DOUGLAS
7217,72064,7398,32563,zip,FL,FL,GULF BREEZE,"Pensacola-Ferry Pass-Brent, FL",Santa Rosa County,SANTA ROSA
7218,92239,7399,78064,zip,TX,TX,PLEASANTON,"San Antonio-New Braunfels, TX",Atascosa County,ATASCOSA
7219,92577,7400,78642,zip,TX,TX,LIBERTY HILL,"Austin-Round Rock-Georgetown, TX",Williamson County,WILLIAMSON
7220,68558,7402,25314,zip,WV,WV,CHARLESTON,"Charleston, WV",Kanawha County,KANAWHA
7221,90721,7403,75143,zip,TX,TX,,"Dallas-Fort Worth-Arlington, TX",Kaufman County,KAUFMAN
7222,60927,7404,08033,zip,NJ,NJ,HADDONFIELD,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,CAMDEN
7223,75516,7405,40071,zip,KY,KY,TAYLORSVILLE,"Louisville/Jefferson County, KY-IN",Spencer County,SPENCER
7224,62925,7406,13057,zip,NY,NY,EAST SYRACUSE,"Syracuse, NY",Onondaga County,ONONDAGA
7225,76950,7407,44030,zip,OH,OH,CONNEAUT,"Ashtabula, OH",Ashtabula County,ASHTABULA
7226,82731,7410,56258,zip,MN,MN,MARSHALL,"Marshall, MN",Lyon County,LYON
